//--------------------------------------------------------------------------------------
// GENÉRICO
//--------------------------------------------------------------------------------------
gen_err												=错误
011_Erro_bulto_repetido								= 有重复代码密封袋。 
011_msg_numparciales_zero						    = 泛音的数量必须是大于零。 

//TELA SENHA SUPERVISOR
023_senha_supervisor_titulo							= 鉴定的监督 
023_senha_supervisor_lbl_usuario					= 用户 
023_senha_supervisor_lbl_chave						= 密码 
023_senha_supervisor_lbl_categorizacion				= 分类 
023_senha_supervisor_btn_aceptar					= 接受＆ 
023_senha_supervisor_btn_cancelar					= 与取消 
023_validar_usuario									= 用户应当被告知。 
023_validar_chave									= 必须输入密码。 
023_senha_supervisor_motivos						= 原因 
023_senha_supervisor_btn_volver						= 与取消 

//TELA Estado Parcializacion
012_titulo_EstParcializacion						= 国家partialization 
012_datos_bulto										= 资料袋 
012_precinto_bulto									= 代码袋 
012_nome_cliente									= 顾客 
012_numero_parciales								= 无偏 
012_datos_parcializacion							= 数据partialization 
012_codprecinto										= 局部的 
012_codpuesto										= 邮寄 
012_parcialesprocesadas								= 部分加工号 
012_numtotparciales									= 合计偏号 
012_terminado										= 成品 
012_aceptar											= 接受＆ 
012_msgbultosnaoterminados							= 有袋Parcializados完成。要完成所有袋Parcializados收盘前袋的父亲。 

//TELA Seleccionar Bulto
024_TituloSeleccionarBulto							= 选择袋 
024_btnAceptar										= 接受＆ 
024_CodigoPrecintoBulto								= 代码密封件 
024_EstadoBulto										= 国家袋 
024_CodPrecintoInvalido								= 代码袋应予以通报。 
024_BultoInvalido									= 在列表中不存在的袋。 
024_BultoEstadoNaoPendente							= 袋被告知的不同状态，以待。 
024_ConfirmaSelecao									= 确认选择袋计数吗？ 

//TELA DIFERENCIAS DETALLADAS
026_titulodiferenciasdetalladas						= 详细差异 
026_btnaceptar										= 接受差异 
026_btnVerificarRecuento							= 检查计数 
026_colagrupacion									= 分组 
026_colvalordeclarado								= 申报价值 
026_colvalorcontado									= 计数值 
026_coldiferencia									= 差异 
026_coldivisa										= 座右铭 
026_coldenominacion									= 面值 
026_colUnidDeclaradas								= 申报单位 
026_colUnidContadas									= 计数单​​位 
026_coldiferenciaUnidades							= 取消差别。 
026_gbDiferencias									= 差异 
026_colMedioPago									= 付款方法 
026_colTipo											= Tipo
026_colSumDecPar									= 索玛申报桑格利亚 
026_colContado										= 计数 
026_colContMenosDec									= 申报数 - 
026_colSumDecParMenosDec							= 索玛申报桑格利亚 - 宣 
026_colContMenosSumDecParc							= 计数 - 索马宣布桑格利亚 
026_colCantFalsos									= 假 
026_colDetalleFalsos								= 详细信息虚假 
026_colDeclaradoParcial								= 桑格利亚宣布 
026_colDeclaradoBulto								= 申报袋 
026_colDeclaradoRemesa								= 申报一批 
026_btnDetalleFalsos								= 查看详细信息 
026_declaradoDetalleTotal							= 总 
026_cantidadparcial									= 数量出血 
026_colValorFalsos									= 值False 
026_colTipoDiferencia								= 型差分评论
026_colObservaciones								= 型差分评论
026_msgTipodiferencias								= 它是强制性的报告不同的差异

026_espana_gb_diferencias							= 差异 
026_espana_col_geral_divisa							= 座右铭 
026_espana_col_geral_mediopago						= 付款方法 
026_espana_col_geral_remesa							= 装船 
026_espana_col_geral_remesa_declarado				= 宣 
026_espana_col_geral_remesa_contado					= 计数 
026_espana_col_geral_remesa_diferencia				= 差异 
026_espana_col_geral_bulto							= 袋 
026_espana_col_geral_bulto_declarado				= 宣 
026_espana_col_geral_bulto_contado					= 计数 
026_espana_col_geral_bulto_diferencia				= 差异 
026_espana_col_geral_parcial						= 局部的 
026_espana_col_geral_parcial_declarado				= 宣 
026_espana_col_geral_parcial_contado				= 计数 
026_espana_col_geral_parcial_diferencia				= 差异 
026_espana_col_geral_falsos							= 假 
026_espana_col_declarados_divisa					= 座右铭 
026_espana_col_declarados_mediopago					= 付款方法 
026_espana_col_declarados_rb_declarados				= 宣 
026_espana_col_declarados_rb_remesa					= 装船 
026_espana_col_declarados_rb_bulto					= 袋 
026_espana_col_declarados_rb_diferencia				= 差异 
026_espana_col_declarados_bp_declarados				= 宣 
026_espana_col_declarados_bp_bulto					= 袋 
026_espana_col_declarados_bp_parcial				= 局部的 
026_espana_col_declarados_bp_diferencia				= 差异 
026_espana_col_declarados_rp_declarados				= 宣 
026_espana_col_declarados_rp_remesa					= 装船 
026_espana_col_declarados_rp_parcial				= 局部的 
026_espana_col_declarados_rp_diferencia				= 差异 
CONTEO_026_espana_col_contenedores_contenedor				= 水平 
026_espana_col_contenedores_declarado				= 宣 
026_espana_col_contenedores_contado					= 计数 
026_espana_col_contenedores_diferencia				= 差异 
026_espana_btn_aceptar_diferencias					= 与接受差异 
026_espana_btn_verificar_conteo						= 检查计数 
026_lblTipoContenedor   							= Tipo Contenedor
// TICKET ENTREGAR VALORES
031_TituloProsegur									= 巴西PROSEGUR的 
031_re_impresion 									= 它重印 
031_NumeroTicket									= 号票 
031_Usuario											= 用户 
031_Puesto											= 邮寄 
031_Fecha											= 日 
031_Precinto										= 密封 
031_Destino											= 目的地 
031_Cliente											= 顾客 
031_BancoIngreso									= 银行流程 
031_Unidades										= 数量 
031_Importe											= 值 
031_SubTotal										= 小计{0} 
031_TotalEfectivo									= 总 
031_TotalDivisa										= 总 
031_CantidadOtros									= 金额{0} 
031_TotalOtros										= 共{0} 
031_Monedas											= 硬币 
031_Billetes										= 笔记 
031_Sector											= 扇形 
031_Comprobante										= 部分撤回证书编号 
031_Firma											= 签名 
031_Divisa											= 座右铭 
031_msg_modo_visualizacion							= 配置的打印机不支持这种类型的印刷。 

// MÓDULO DE IMPRESSAO
032_ModeloImpressoraInvalido						= 打印机型号无效。 
032_LayoutImpressaoInvalido							= 打印布局无效。 
032_NombreImpresoraInvalido							= 打印机名称无效。 
032_ImpresoraNoInstalada							= 打印机“{0}”没有被发现。 

// AGENTE DISPOSITIVO (Informações Display)
033_TextoInicioConteo								= 首页各显神通 
033_TextoParcial									= 局部的 
033_TextoDivisa										= 货币： 
033_TextoImporteEfectivo							= 有效： 
033_TextoImporteCheque								= 支票： 
033_TextoImporteTicket								= 票务： 
033_TextoImporteOtroValor							= 其他值： 
033_TextoCantidadTarjeta							= 卡： 
033_TextoImporteTotal								= 合计： 
033_TextoEfectivosDetallados						= 详细有效 
033_TextoDeclaradosAgrupacion						= 分组宣布： 
033_TextImporteAgrupacion							= 进口： 
033_TextoUnidadesDenominacion						= 联合国。 

//MANIPULAÇÂO ARQUIVO POSTO (GestionDelSaldoPuesto)
035_errinicializacionsaldopuesto					= 错误初始化职位。 
035_erractualizacionsaldopuestoporparcial			= 错误更新部分门柱。 
035_erractualizacionsaldopuestoporbulto				= 错误更新后袋。 
035_errobtecionsaldopuesto							= 错误得到奠定。 

//INFORMAR DECLARADO PARCIAL
036_lbl_Titulo										= 宣布为部分报告 
036_lbl_Declarados									= 宣 
036_btn_Aceptar 									= &接受
036_btn_Volver 										= &取消

//TELA PESQUISA BULTO BRASIL
043_tituloconteo 									= 算 
043_precintobulto 									= 密封袋 
043_numeroparcial 									=“无偏” 
043_cliente											= 顾客 
043_subcliente										= 子客户端 
043_pontoservico									= 服务点 
043_bancoingreso									= 注册银行 
043_canal											= 子信道 
043_bookingresso									= 过程 
043_gpbdatosbulto									= 资料袋 
043_gpbdeclaradobulto								= 申报袋 
043_gpbapuradobulto									= 坚决袋 
043_gpbcomposicaoapuradobulto						= 组成袋 
043_btnconsulta										= 咨询（F1） 
043_btndispositivo									= 设备（F4） 
043_btnentregar										= 交付（F3） 
043_btninicioconteo									= 开始计数（F2） 
043_btnpausa										= 暂停（F10） 
043_btnsalir										= 退出（F11） 
043_validarprecintobulto							= 密封袋应予以通报。 
043_bultoinexitente									= 袋无效或不存在。 
043_bultoasignadootropuesto							= 另一篇文章是与所选袋。 
043_parcialcero										= 数目的部分必须是大于零。 
043_trabajoencursodistinto							= 新袋的特点是独立的从袋中这袋进行计数之前，你必须先完全排空气体。现在要执行交货值？ 
043_secuenciatrabajobulto							= 工作序列袋通报。 
043_grid_coldbDivisa								= 座右铭 
043_grid_coldbImporteEfectivo						= 导入有效 
043_grid_coldbImporteCheque							= 进口检查 
043_grid_coldbImporteTicket							= 进口门票 
043_grid_coldbImporteOtros							= 导入其他 
043_grid_coldbImporteTotal							= 总进口 
043_grid_colabApurado								= 决心 
043_grid_colabDifMaior								= Dif.Maior 
043_grid_colabDifMenor								= Dif.Menor 
043_grid_colabDivisa								= 座右铭 
043_grid_colabFalsa									= 假 
043_grid_colabImporte								= 进口 
043_grid_colcabDenominacao							= 面值 
043_grid_colcabQuantidade							= 量 
043_grid_colcabValor								= 值 
043_btnconsultarticket								= C＆onsultar门票 
043_btnvoltar										= ＆返回 
043_btnretirarvalores								= Retir空气和价值观 
043_ConfirmaRechazarConteo							= 难道你真的想拒绝计数？ 
043_ConfirmaRechazarBulto							= 难道你真的想拒绝眼袋？ 
043_msgRechazarBulto								= 这袋不能被拒绝。 
043_bultorechazado									= 所选袋已经被拒绝。 
043_entregavalorespendente							= 在退出之前，该应用程序需要提供值。 
043_remesapendente									= 临行前，关闭应用程序是必要的转介。 
043_msg_parcial										= 部分无发现根据搜索字段通报。 
043_btncerrarremesa									= 关闭航运（F6） 
043_btnrechazarbulto								= 再jeitar袋 
043_btnrechazarconteo								= 抑制＆焦油计数 
043_btninforemesa									= Info.Remessa（F7） 
043_btneliminarparcial								= EL＆iminar出血 
043_msg_bulto_eliminado						    	= 选定的袋被删除。 
043_msgRemesaNoReabierta							= 选择的装运不再重新开放。 
CONTEO_msg_CerrarRemessaPF							= No se puede cerrar la remesa pues existe parcial con estado PF (Pendiente Fiscalizar)
043_CodATM 										= Código ATM

//TELA RECUENTO BRASIL
038_tituloconteo									= 算 
038_precintobulto									= 密封袋 
038_valor											= 值 
038_cliente											= 顾客 
038_cliente_coleta									= 收集点 
038_contadora_cedula								= 孔塔多拉选票 
038_contadora_moeda									= 孔塔多拉货币 
038_dvr												= DVR 
038_totalcontado									= 总 
038_efectivocontado									= 有效 
038_chequecontado									= 查 
038_ticketcontado									= 票 
038_otrovalorcontado								= 其他 
038_parcializado									= Parcializado 
038_gpbdatosbulto									= 信息袋 
038_gpbdatosdispositivos							= 设备 
038_gpbcontado										= 计数值 
038_gpbdatossangria									= 部分数据 
038_gpbdatosdeclarado								= 宣布部分 
038_gpbdatoscomposicao								= 组合物的部分 
038_btncerrarparcial								= 关闭部分（F5） 
038_btncerrarbulto									= 关闭袋（F6） 
038_btnparcializar									= ＆Partialize“ 
038_btnbillete										= 告诉门票（F8） 
038_btnmoneda										= 告诉货币（F9） 
038_btnlimpiarconteo								= 清除计数（F12） 
038_btnsalir										= 退出（F11） 
038_btncomsupervisor								= 注释和超显示 
038_totaldeclarado									= 宣总 
038_totalapurado									= 总计计算 
038_lbl_objcombo_cedulade							=  
038_lbl_objcombo_monedade							=  
038_lbl_objbutton_falsos							= 详图假 
038_lbl_objbutton_info_compl						= Inf.Complementar 
038_msg_algoritmo									= 算法不验证结束 
038_grid_parcial_numseq	 							= 无偏 
038_grid_declarado_divisa							= 座右铭 
038_grid_declarado_valor							= 申报价值 
038_grid_composicao_denominacao						= 面值 
038_grid_composicao_divisa							= 座右铭 
038_grid_composicao_origem							= 起源 
038_grid_composicao_quantidade						= 量 
038_grid_composicao_valor							= 值 
038_grid_composicao_registrar						= 注册 
038_btnpausa										= 暂停（F10） 
038_btndispositivos									= 设备（F4） 
038_btncerrarremesa									= 关闭航运（F7） 
038_msg_cacelar_lancamento_parcial					= 要取消当前的部分数据？ 
038_caption_cacelar_lancamento_parcial				= 确认 
038_btnbuscarparciais								= 搜索部分 
038_btninformardeclarado							= 通知及申报 
038_btnagregardivisas								= 阿格雷和噶尔货币 
038_btnretirarvalores								= Retir空气和价值观 
038_btnmodparciais									= 修改面值TiAl合金 
038_msg_cant_dec_x_cant_det							= 规定数额：{0}和详细数量：{1}，应该是平等的。 
038_msg_tot_dec_x_tot_det							= 总宣称：{0}：{1}总深度必须相等。 
038_msg_aguarde_fin_conteo							= 一直等到年底计数。 
038_lbl_saldo										= 平衡 
038_btnagrupacioncomposicion						= 本集团及组成 
038_msg_cerrar_parcial									= 你必须关闭前漏袋！ 
038_msg_divisas_no_Seleccionadas					= A（S）雪佛龙（）{0}至（m）算作一个新的桑格利亚（收费）。 
038_msg_seleccionar_divisa_declarado				= 在网格中，选择一种货币宣布。 
038_msg_seleccionar_divisa_composicion				= 选择货币电网组成。 
038_msg_insertar_divisa_remesa						= 有没有边界{0}在装运。必须插入座右铭。 
038_msg_denominacion_no_disponible					= 名称{0}是不可用现有的货币。请在IAC的货币同步验证是正确的，如果配置文件中的设备代理正确返回值的会计师。 
038_msg_operacioninvalida							= 无法执行所需的操作，请与您的系统管理员联系。 

//VALIDAR CREDENCIALES DE USUARIO
041_titulo_pantalla									= 验证用户凭据 
041_lbl_usuario										= 用户 
041_lbl_senha										= 密码 
041_btn_aceitar										= 接受＆ 
041_btn_cancelar									= 与取消 
041_msg_erro_usuario								= 应告知用户，不同的用户登录。 
041_msg_erro_permiso								= 知情用户是不是一个有效的用户在系统中。 

//RETIRO DE VALORES
042_titulo_pantalla									= 撤回证券 
042_lista_precintos									= 读取的密封名单 
042_grb_precinto_retirar							= 阅读密封 
042_lbl_codigo_precinto								= 代码密封件 
042_btn_procesar									= 与过程 
042_msg_erro_precintoRepetido						= 该的密封代码已经存在于列表中关闭。 
042_grid_colPrecinto								= 代码密封件 
042_grid_colErro									= 错误描述 
042_btn_Retirar										= 和删除 
042_btn_Cancelar									= 与取消 
042_btn_Excluir										= 删除 
042_msg_retiroSemErro								= 所有的包装袋被成功删除。 
042_msg_ClicarX										= 按下“X”来查看错误。 

//TELA DETALLE MEDIO PAGO INFORMACIONES BULTO BRASIL
044_Aceptar											= 与确认 
044_Volver											= ＆返回 
044_Importe											= 值 
044_Importe_Total									= 总 
044_Cantidad										= 量 
044_erro_validar									= 现场验证错误。 
044_mascara_invalida								= 无效的面膜 
044_algoritmo_invalido								= 无效的算法 
044_valor_total_menor								= 附加信息的总价值不能低于申报值。 
044_valor_total_maior								= 附加信息的总价值不能高于规定值。 
044_Cantidad_total_menor							= La cantidad total de las informaciones complementares no puede ser inferior al valor declarado.
044_Cantidad_total_maior							= La cantidad total de las informaciones complementares no puede ser superior al valor declarado.
044_cabecalho										= 补充信息 
004_DeseaActualizarPantallaPrincipal				= Deseja Atualizar os valores da tela de contagem?

//TELA LIMPIAR CONTEO BULTO BRASIL 
046_limpiarConteo_frm_titulo						= 清除计数 
046_limpiarConteo_titulo							= 清除计数 
046_lbl_limpiarConteo_Automatico					= 算 
046_lbl_limpiarConteo_Manual						= 手册 
046_lbl_limpiarConteo_Geral							= 一般 
046_lbl_Detalle_limpiarConteo_Automatico			= 清洁电网组成{0}自动分录。 
046_lbl_Detalle_limpiarConteo_Manual				= 清洁电网组成{0}手册条目。 
046_lbl_Detalle_limpiarConteo_Geral					= 清除所有条目从电网{0}组成。 

//TELA BILLETE FALSOS
047_Titulo											= 假 
047_NumeroSerie										= 流水号 
047_Plancha											= 普朗克号 
047_Obs												= 评论 
047_UnidadesFalsas									= 单位 
047_Aceptar											= 接受＆ 
047_Volver											= ＆返回 
047_CampoInvalido									= 字段的值{0}是无效的。 
047_billetede										= 抽签 
047_monedade										= 货币 
047_Cantidad										= 量 
047_NumeroSerieYaExiste								= 输入的序列号已在使用中 

//PATALLA AGREGAR DIVISAS
048_item_selecione									= 选择 
048_btn_aceitar										= 接受＆ 
048_btn_cancelar									= 与取消 
048_lbl_divisa										= 外汇 
048_lbl_titulo										= 新增货币 
048_msg_erro_divisaNaoSelecionada					= 选择货币 
048_msg_erro_divisaExistente						= 此货币已经在后的货币。 

//PATALLA INGRESAR NUEVO PRECINTO
049_Titulo											= 插入新的密封袋 
049_btn_aceptar										= 接受＆ 
049_btn_cancelar									= 与取消 
049_msg_erro_ingresar_precinto						= 请插入新密封袋。 

//TELA BLOQUEO DE CONTEO
050_tituloconteo 									= 设备故障硬盘录像机 
050_nao_enviar_msg 									= 不送信 
050_lbl_usuario_supervidor							= 代码监事 
050_lbl_senha										= 密码 
050_lbl_cabecalho									= 与DVR的通信故障。 
050_lbl_mensagem									= 发生错误的DVR发送消息时，请询问您的主管封锁消息发送到DVR，并释放屏幕计数。 
050_lbl_aviso										= 注意：请重新启动应用程序组件“代理的​​设备”，然后点击“通讯测试”，以尝试重新建立连接之前，阻止发送消息到DVR。 
050_btn_confirmar									= 确认 
050_btn_fechar										= 关闭 
050_btn_testar_comunicacao							= 测试通讯 
050_usuario_nao_autenticado							= 无法对用户进行认证。检查用户名和密码进入。 
050_fechar_tela_bloqueio							= 关闭锁定屏幕和退出屏幕计数？ 
050_validar_usuario									= 应告知用户。 

//PATALLA INGRESAR NUMERO PARCIALES BULTO BRASIL

051_Titulo											= 修改部分 
051_btn_aceptar										= 接受＆ 
051_btn_cancelar									= 与取消 
051_msg_erro_ingresar_parciales						= 请输入部分修改的数量。 

//PATALLA LIMPIAR CONTEO
052_Titulo											= 清除计数 
052_btn_limpiar_conteo								= 清除计数 
052_btn_Cancelar								    = 取消 
052_btn_selecionar_todos	    					= 全选 
052_tab_mediopago                                   = 付款方法 
052_gb_efectivo                                     = 有效 
052_gb_conteo_limpiar                               = 计数清除 
052_chk_cheque                                      = 查 
052_chk_ticket                                      = 票 
052_chk_otro_valor                                  = 另一种价值 
052_chk_tarjeta		                                = 卡 
052_billete_manual                                  = 门票 - 手动 
052_billete_automatico                              = 门票 - 自动 
052_billete_deteriorado                             = 下降的门票 - 
052_moneda_manual                                   = 货币 - 手动 
052_moneda_automatico                               = 货币 - 自动 
052_moneda_deteriorado								= 货币 - 变质 
052_msg_componentes_check                           = 没有项目被选定为清洁。 
052_caption_componentes_check                       = 清除计数 

//PANTALLA DETALLE FALSOS
053_titulodetallefalsos								= 详细的虚假 
053_gbDetalleFalsos									= 详细的虚假 
053_colCantidad										= 量 
053_colDenominacion									= 面值 
053_colSerie										= 流水号 
053_colImporte										= 总 
053_btnAceptar										= 接受＆ 
053_Billete											= 票 
053_Moneda											= 货币 

//PANTALLA CONTEOS REABIERTOS
057_titulopantalla									= 计数重新开放 
057_gbConteosReabiertos								= 计数重新开放 
057_btnSelecionar									= 和选择 
057_colParcialSecuencia								= 流血的 
057_colCanal										= 渠道 
057_colEstado										= 州 
057_colDatosIAC										= 数据IAC 
057_colCliente										= 顾客 
057_colCodBulto										= 代码袋 
057_colCodRemesa									= 推荐码 
057_colPuntoServicio								= 服务点 
057_colSubcliente									= 子客户端 
057_colDatosIACVisualizar							= IAC 
057_conteoNoSeleccionadao							= 你必须选择一个计数重新开放。 

//PANTALLA ELIMINACION PARCIALES
058_titulopantalla									= 排除部分 
058_gb_parciales									= 局部的 
058_btn_eliminar									= 与删除 
058_btn_cancelar									= 与取消 
058_col_eliminar									= 删除 
058_col_numero_parcial								= 型号 
058_col_ver_declarado_y_recontado					= 请参见已声明，并重述 
058_msg_confirmacion_eliminacion					= 此操作减去后的平衡，你要继续吗？ 
058_msg_impossible_eliminar_parciales				= 不可能消除的部分，不能为负后的余额。 
058_msg_necesario_seleccionar_parcial				= 您必须选择至少一个部分。 
058_msg_parciais_eliminadas							= 部分被成功消除。 

//ENTREGA MULTIPRECINTO
059_titulo											= 交货多封 
059_btn_aceptar										= 接受＆ 
059_btn_cancelar									= 与取&消 
059_btn_anadir										= A＆日 
059_msg_titulomensagem								= 注意 
059_msg_cancelar									= 此选项将删除记录的密封。 
059_msg_excluir										= 您不可以删除的第一个代码的密封。 
059_msg_um_precinto									= 您只能执行多提货时被告知超过密封密封。 
059_msg_precinto_obrigatorio						= 密封件的数量是必需的。 
059_msg_precinto_repitido							= 不允许代码密封反复。 

//AGRUPACIÓN COMPOSICIÓN
CONTEO_060_titulo											= 分组组成 
060_btn_cerrar										= ＆关闭 
060_col_denominacion								= 面值 
060_col_cantidad									= 量 
060_col_valor										= 值 
060_lbl_total										= 总 

//PANTALLA DATOS DE IAC
062_titulopantalla									= 数据IAC 
062_gb_IAC_Remesa									= 数据IAC优惠 
062_gb_IAC_Bulto									= 数据IAC袋 
062_gb_painel										= 其他信息客户端 
062_btn_aceptar										= 接受＆ 
062_btn_cancelar									= ＆返回 


//ALGORITIMO VALIDACION FECHA MENOR FECHA TRANSPORTE
062_msg_Fecha_Transporte_No_Informada	= 发货日期通知。 
062_msg_FechaMayor										= 数据大于出货日期。 

//ALGORITIMO VALIDACION FECHA CON FECHA ACTUAL MAS FECHA TRANSPORTE
063_msg_Fecha_Transporte_No_Informada	= 发货日期通知。 
063_msg_Fecha_Inferior									= 超越航运或少于30天的日期为当前日期之前的日期。 

//PANTALLA REGISTRAR CATEGORIZACION
063_titulo											= 注册分类 
063_grb_filtro										= 过滤 
063_grb_categorizacion								= 信息产品分类 
063_lbl_delegacion									= 代码代表团 
063_lbl_codigo										= 代码分类 
063_lbl_descripcion									= 说明分类 
063_chk_vigente										= 目前 
063_btn_buscar										= 和搜索 
063_btn_alta										= 和插入 
063_btn_grabar										= 实录 
063_grid_lbl_codigo									= 码 
063_grid_lbl_descripcion							= 描述 
063_grid_lbl_vigente								= 目前 
063_grid_lbl_modificar								= 修改 
063_grid_lbl_baja									= 停用 
063_lbl_alta_codigo									= 码 
063_lbl_alta_descripcion							= 描述 
063_lbl_alta_vigente								= 目前 
063_grb_datos_categorizacion						= 数据分类 
063_btn_aceitar										= 接受＆ 
063_btn_cancelar									= 与取消 
063_titulo_alta										= 插入分类 
063_titulo_modificacion								= 修改分类 
063_datos_grabados									= 数据保存成功，但以反映更改，必须重新启动应用程序。 
063_no_hube_alteracion								= 有没有变化记录。 
063_codigo_existe									= 分类代码已经存在。 
063_descripcion_obligatoria							= 的描述是强制性的。 
063_codigo_obligatorio								= 该代码是强制性的。 
063_msg_categorizacion_no_vig						= 分类不再有效。 
063_cmb_categorizacao								= 选择 

//PANTALLA DIVISIÓN DE LA REMESA
064_titulo											=“斯普利特一批” 
064_gb_identificacion								= 识别组件 
064_gb_componentes									= 组件 
064_lbl_precinto									= 密封 
064_lbl_funcion										= 功能 
064_btn_adicionar									= ＆添加 
064_btn_dividir										= ＆分离 
064_btn_cancelar									= 与取消 
064_col_precinto									= 密封 
064_col_funcion										= 功能 
064_col_contar										= 告诉？ 
064_cmb_selecionar									= 选择功能 

//ALGORITIMO VALIDACION COPIAR FECHA TRANSPORTE
064_msg_Fecha_Transporte_No_Informada	= 在FUE LA FECHA运输enterada。 

//PANTALLA SELECCIONAR PARCIAL RECUENTO
065_titulo											= 桑格利亚计数 
065_gb_parciales									= 放血计数 
065_col_secuencia									= 序列 
065_col_parcial										= 流血的 
065_btn_recuento									= ＆验票 
065_btn_cancelar									= 与取消 
065_msg_seleccion									= 没有出血被选定为计数 

//ALGORITIMO VALIDACION FECHA TRANSPORTE CON FECHA ACTUAL
065_msg_FechaMayor										=  数据传输优于当前日期。 

//MODIFICAR REGISTRO MOVIMIENTO
066_id_parcial											= 标识符桑格利亚 
066_tipo_movimiento										= 机芯类型 
066_codigo_usuario										= 用户代码 
066_fecha_actualizacion									= 更新日期 

//MODIFICAR DATOS REMESA
067_id_remesa											= 托运识别 
067_estado_remesa										= 发货状态 
067_codigo_usuario										= 用户代码 
067_fecha_actualizacion									= 更新日期 
067_cod_iso_divisa										= ISO货币代码 
067_cod_denominacion									= 代号名称 
067_num_unidades										= 单位 
067_id_morfologia										= 标识符形态 
067_cod_morfologia_componente							= 形态组件代码 
067_msg_componentes_morfologia							= 组件没有意识到形态。 
067_msg_funcion_contenedor								= 包装功能不匹配的容器ATM可用的功能。 
067_msg_objCódigo Iso Moedaetos_componente								= 没有知识，齿轮组件形态。 
067_msg_morfologia										= 被发现有一个形态的装运。 

//DIVIDIR REMESA
068_id_remesa											= 标识符出货 
068_id_remesa_origen									= 标识符运费产地 
068_id_codigo_delegacion								= 代表团守则 
068_codigo_usuario										= 用户代码 
068_fecha_actualizacion									= 更新关闭 
068_msg_funcion_componente								= 该函数不匹配的容器ATM可用的功能。 
068_precintos											= 密封件 
068_codigo_subcanal										= 代码子信道 
068_cod_iso_divisa										= ISO货币代码 
068_cod_denominacion									= 法典 
068_num_unidades										= 单位 
068_cod_morfologia_componente							= 形态代码组件 
068_msg_componentes_morfologia							= 组件没有意识到形态。 
068_msg_objetos_componente								= 没有知识，齿轮组件形态。 
068_msg_morfologia										= 成分不知道装运形态。 
068_msg_componente										= 没有找到一个组件发货。 
068_msg_remesa											= 不能分割交付，它的状态是不同的“PT”。 

//RECUPERAR DATOS TIRA
069_id_cajero											= 标识符ATM 

//GET DECLARADOS CONTADOS
070_identificadorRemesa									= 通知托运的标识符，它是强制性的。 

//PANTALLA BULTO PARCIALIZADO
071_titulo											= 袋Parcializado的 
071_lblcliente										= 顾客 
071_lblcodigomalote									= 代码袋 
071_lblnumeroparciais								= 偏号 
071_colparcial										= 局部的 
071_colnumparciaisprocessadas						= 部分加工号 
071_colnumtotalparciais								= 合计偏号 
071_colposto										= 邮寄 
071_colterminado									= 成品 
071_Aceptar											= 接受 
071_Volver											= 取消 
071_DatosMalote										= 资料袋 
071_DatosParcializacion								= 数据partialization 
071_msg_bultonoselecinado							= 没有选择小袋 
071_msg_bultoterminado								= 这是不可能的选择成品袋 
071_msg_bultoinexitente								= 找不到袋 

//------------------------------------------------------------------------------------------------------------
// REPORTE PARTE DIFERENCIAS
//------------------------------------------------------------------------------------------------------------

CONTEO_062_msg_imprimir_reporte                            = 想要打印的报告吗？ 
CONTEO_062_errogerarpdf								    = 生成PDF文件时发生错误。详细说明：{0} 
062_LayoutImpressaoInvalido							= 打印布局无效。 
062_NombreImpresoraInvalido							= 打印机名称无效。 
062_ImpresoraNoInstalada							= 打印机“{0}”没有被发现。 

rpt_062_lbl_titulo_empresa                          = 巴西PROSEGUR的S / A 
rpt_062_lbl_titulo_projecto                         = 忌讳 
rpt_062_lbl_titulo_reporte                          = 部分差异 
rpt_062_lbl_cabecalho_documento                     = 文件 
rpt_062_lbl_cod_delegacion                          = 代表团： 
rpt_062_lbl_cliente                                 = 客户： 
rpt_062_lbl_sub_cliente                             = 子客户端： 
rpt_062_lbl_sucursal                                = 分公司： 
rpt_062_lbl_fecha_recorida                          = 数据采集​​： 
rpt_062_lbl_codigo_transporte                       = 运输代号： 
rpt_062_lbl_fecha_conteo                            = 禁忌日期： 
rpt_062_lbl_codigo_usuario                          = 运营商： 
rpt_062_lbl_precintos								= 袋代码： 
rpt_062_lbl_parciales_contados                      = 发行部分的计数： 
rpt_062_lbl_titulo_iac                              = 其它的信息： 
rpt_062_lbl_detalle_titulo                          = 详细宜忌 
rpt_062_lbl_detalle_denominacion                    = 面值 
rpt_062_lbl_detalle_contado							= 计数 
rpt_062_lbl_detalle_importe							= 进口 
rpt_062_lbl_detalle_unidades						= 单位 
rpt_062_lbl_detalle_falsos							= 假 
rpt_062_lbl_detalle_deteriorados					= 恶化 
rpt_062_lbl_detalle_grandtotal						= 总 
rpt_062_lbl_diferencias_titulo                      = 细节差异 
rpt_062_lbl_diferencias_moneda						= 货币 
rpt_062_lbl_diferencias_declarado					= 宣 
rpt_062_lbl_diferencias_contado						= 计数 
rpt_062_lbl_diferencias_falta						= 缺乏 
rpt_062_lbl_diferencias_sobra						= 吃剩的 
rpt_062_lbl_diferencias_falsos						= *假 
rpt_062_lbl_diferencias_justificadootro				= 合理的另一DOC。 
rpt_062_lbl_diferencias_justificadoeste				= 这个文档对齐。 
rpt_062_lbl_diferencias_datoinformativo             = *鉴于翔实，不部分计算“绍布拉或失踪” 
rpt_062_lbl_observaciones_titulo					= 评论 
rpt_062_lbl_datos_prosegur							= 数据PROSEGUR 
